Year,Airport Code,Airport Name,City Name,State Name,Average Fare ($),
2022,LAX,Los Angeles International,Los Angeles,CA,316.36,
2022,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,344.46,
2022,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,327.11,
2022,DEN,Denver International,Denver,CO,348.22,
2022,EWR,Newark Liberty International,Newark,NJ,330.49,
2022,BOS,Logan International,Boston,MA,345.87,
2022,SEA,Seattle/Tacoma International,Seattle,WA,312.24,
2022,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,399.90,
2022,MCO,Orlando International,Orlando,FL,293.33,
2022,SFO,San Francisco International,San Francisco,CA,362.29,
2022,PHX,Phoenix Sky Harbor International,Phoenix,AZ,207.63,
2022,LGA,LaGuardia,New York-La Guardia,NY,308.02,
2022,JFK,John F. Kennedy International,New York-JFK,NY,366.67,
2022,LAS,Harry Reid International,Las Vegas,NV,144.16,
2022,MSP,Minneapolis-St Paul International,Minneapolis,MN,446.64,
2022,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,349.21,
2022,PHL,Philadelphia International,Philadelphia,PA,371.26,
2022,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,255.42,
2022,SAN,San Diego International,San Diego,CA,251.95,
2022,DTW,Detroit Metro Wayne County,Detroit,MI,319.25,
2022,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,313.11,
2022,TPA,Tampa International,Tampa,FL,280.12,
2022,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,274.61,
2022,AUS,Austin - Bergstrom International,Austin,TX,225.96,
2022,MIA,Miami International,Miami,FL,294.73,
2022,PDX,Portland International,Portland,OR,302.41,
2022,BNA,Nashville International,Nashville,TN,301.67,
2022,SLC,Salt Lake City International,Salt Lake City,UT,273.07,
2022,CLT,Charlotte Douglas International,Charlotte,NC,345.50,
2022,RDU,Raleigh-Durham International,Raleigh/Durham,NC,354.52,
2022,SMF,Sacramento International,Sacramento,CA,232.70,
2022,HNL,Daniel K Inouye International,Honolulu,HI,123.95,
2022,MDW,Chicago Midway International,Chicago-Midway,IL,148.81,
